
---- Journal Bearing Problem SHB-----
mx: 50,  my: 50,  ecc: 0.1 

Value of Tao are gatol = 1.000000e-08, grtol =  1.000000e-08, gttol = 0.000000e+00  
  0 MPGP ||gp||=1.2198589204e-01,	||phi||=0.0000000000e+00,	||beta||=1.2198589204e-01
 16 MPGP ||gp||=9.5142065185e-02,	||phi||=8.4566324527e-02,	||beta||=4.3595290155e-02
 17 MPGP ||gp||=9.4167186159e-02,	||phi||=7.5483887137e-02,	||beta||=5.6299571329e-02
 18 MPGP ||gp||=1.4840633080e-01,	||phi||=1.3188425076e-01,	||beta||=6.8051329334e-02
 19 MPGP ||gp||=1.7988834901e-01,	||phi||=1.5749045615e-01,	||beta||=8.6928558767e-02
 20 MPGP ||gp||=1.6620536234e-01,	||phi||=1.0933378140e-01,	||beta||=1.2518125545e-01
 21 MPGP ||gp||=1.3618317391e-01,	||phi||=1.2940053557e-01,	||beta||=4.2442410984e-02
 22 MPGP ||gp||=9.8108019555e-02,	||phi||=8.8451624926e-02,	||beta||=4.2444004865e-02
 23 MPGP ||gp||=8.9325402349e-02,	||phi||=6.9308445864e-02,	||beta||=5.6350393403e-02
 24 MPGP ||gp||=8.9089737448e-02,	||phi||=4.5067983937e-02,	||beta||=7.6849581277e-02
 25 MPGP ||gp||=5.5125127529e-02,	||phi||=5.2846982282e-02,	||beta||=1.5683626772e-02
 26 MPGP ||gp||=4.3632219217e-02,	||phi||=4.0714972552e-02,	||beta||=1.5686349605e-02
 27 MPGP ||gp||=5.5968013360e-02,	||phi||=5.0837196218e-02,	||beta||=2.3409357106e-02
 28 MPGP ||gp||=7.3421473016e-02,	||phi||=5.6220341540e-02,	||beta||=4.7222726488e-02
 29 MPGP ||gp||=8.3288770962e-02,	||phi||=5.7845449400e-02,	||beta||=5.9924313530e-02
 30 MPGP ||gp||=5.2573349334e-02,	||phi||=5.2307541295e-02,	||beta||=5.2799795370e-03
 31 MPGP ||gp||=3.6750854655e-02,	||phi||=3.6368873717e-02,	||beta||=5.2849164975e-03
 32 MPGP ||gp||=4.3630247979e-02,	||phi||=4.3162204691e-02,	||beta||=6.3735880741e-03
 33 MPGP ||gp||=4.6461376000e-02,	||phi||=4.5527566432e-02,	||beta||=9.2682336305e-03
 34 MPGP ||gp||=3.5152384594e-02,	||phi||=3.3687679618e-02,	||beta||=1.0041433395e-02
 35 MPGP ||gp||=3.5347292497e-02,	||phi||=3.4216630427e-02,	||beta||=8.8686689552e-03
 36 MPGP ||gp||=3.5294282369e-02,	||phi||=3.5088265468e-02,	||beta||=3.8078858132e-03
 37 MPGP ||gp||=4.7619051826e-02,	||phi||=4.7348582589e-02,	||beta||=5.0681183497e-03
 38 MPGP ||gp||=8.5087335538e-02,	||phi||=8.2795230696e-02,	||beta||=1.9616432980e-02
 39 MPGP ||gp||=5.2524824627e-02,	||phi||=4.5894144081e-02,	||beta||=2.5545738219e-02
 40 MPGP ||gp||=6.0506468021e-02,	||phi||=5.5673352417e-02,	||beta||=2.3696212840e-02
 41 MPGP ||gp||=3.7809501144e-02,	||phi||=3.1320233410e-02,	||beta||=2.1180211422e-02
 42 MPGP ||gp||=3.7774397548e-02,	||phi||=3.0055463248e-02,	||beta||=2.2881744667e-02
 43 MPGP ||gp||=3.6982585672e-02,	||phi||=2.7017988156e-02,	||beta||=2.5253513794e-02
 44 MPGP ||gp||=3.8066147786e-02,	||phi||=3.0221955506e-02,	||beta||=2.3144438051e-02
 45 MPGP ||gp||=4.0519002863e-02,	||phi||=3.7583593597e-02,	||beta||=1.5141436039e-02
 46 MPGP ||gp||=5.4952141338e-02,	||phi||=5.3612603637e-02,	||beta||=1.2059293881e-02
 47 MPGP ||gp||=5.6382846219e-02,	||phi||=5.4283964112e-02,	||beta||=1.5240622954e-02
 48 MPGP ||gp||=7.9451386299e-02,	||phi||=7.7041213686e-02,	||beta||=1.9420972650e-02
 49 MPGP ||gp||=6.1941756494e-02,	||phi||=5.6177163087e-02,	||beta||=2.6094205200e-02
 50 MPGP ||gp||=5.9056883067e-02,	||phi||=4.9645386057e-02,	||beta||=3.1985169702e-02
 51 MPGP ||gp||=4.4031868947e-02,	||phi||=2.2902329559e-02,	||beta||=3.7607031042e-02
 52 MPGP ||gp||=3.0335394657e-02,	||phi||=3.0335394042e-02,	||beta||=6.1115886650e-06
 53 MPGP ||gp||=2.7262612139e-02,	||phi||=2.7260717732e-02,	||beta||=3.2138662832e-04
 54 MPGP ||gp||=2.4339296401e-02,	||phi||=2.4328668803e-02,	||beta||=7.1918258528e-04
 55 MPGP ||gp||=2.1229946574e-02,	||phi||=1.9776438349e-02,	||beta||=7.7203055498e-03
 56 MPGP ||gp||=2.0304854200e-02,	||phi||=1.6726233427e-02,	||beta||=1.1511742675e-02
 57 MPGP ||gp||=1.9791306491e-02,	||phi||=1.6018513682e-02,	||beta||=1.1623382987e-02
 58 MPGP ||gp||=1.7581056613e-02,	||phi||=1.3264238569e-02,	||beta||=1.1539216907e-02
 59 MPGP ||gp||=1.6526494714e-02,	||phi||=1.0770513494e-02,	||beta||=1.2534794239e-02
 60 MPGP ||gp||=1.2923954719e-02,	||phi||=1.2923954719e-02,	||beta||=0.0000000000e+00
 61 MPGP ||gp||=1.1367016745e-02,	||phi||=1.1367016745e-02,	||beta||=0.0000000000e+00
 62 MPGP ||gp||=9.4409400046e-03,	||phi||=9.4406165610e-03,	||beta||=7.8148050935e-05
 63 MPGP ||gp||=7.8663541056e-03,	||phi||=7.8630962099e-03,	||beta||=2.2637338165e-04
 64 MPGP ||gp||=9.0579488084e-03,	||phi||=9.0570613417e-03,	||beta||=1.2679301479e-04
 65 MPGP ||gp||=1.1362008411e-02,	||phi||=1.1362008411e-02,	||beta||=0.0000000000e+00
 66 MPGP ||gp||=9.5737112501e-03,	||phi||=9.5737112501e-03,	||beta||=0.0000000000e+00
 67 MPGP ||gp||=8.4993422007e-03,	||phi||=8.4986983372e-03,	||beta||=1.0461557271e-04
 68 MPGP ||gp||=8.6172683468e-03,	||phi||=8.6084776741e-03,	||beta||=3.8913480302e-04
 69 MPGP ||gp||=6.2327884034e-03,	||phi||=6.2119955923e-03,	||beta||=5.0868658632e-04
 70 MPGP ||gp||=6.0733312184e-03,	||phi||=6.0392848575e-03,	||beta||=6.4217637623e-04
 71 MPGP ||gp||=5.3679138431e-03,	||phi||=5.3030463454e-03,	||beta||=8.3198466679e-04
 72 MPGP ||gp||=5.1321836062e-03,	||phi||=5.0423117389e-03,	||beta||=9.5624311531e-04
 73 MPGP ||gp||=6.2477553911e-03,	||phi||=6.1398725496e-03,	||beta||=1.1560330880e-03
 74 MPGP ||gp||=7.0105691105e-03,	||phi||=6.8698580155e-03,	||beta||=1.3975443102e-03
 75 MPGP ||gp||=6.9642199851e-03,	||phi||=6.8068856223e-03,	||beta||=1.4719606397e-03
 76 MPGP ||gp||=6.8262623904e-03,	||phi||=6.6653391307e-03,	||beta||=1.4734695432e-03
 77 MPGP ||gp||=6.0987939940e-03,	||phi||=5.8970216886e-03,	||beta||=1.5557709937e-03
 78 MPGP ||gp||=5.6114116637e-03,	||phi||=5.3954106478e-03,	||beta||=1.5419094659e-03
 79 MPGP ||gp||=5.2799416731e-03,	||phi||=5.1125797221e-03,	||beta||=1.3188300332e-03
 80 MPGP ||gp||=4.4956636723e-03,	||phi||=4.3562862035e-03,	||beta||=1.1107485619e-03
 81 MPGP ||gp||=4.1468117505e-03,	||phi||=4.0262846806e-03,	||beta||=9.9251164456e-04
 82 MPGP ||gp||=3.4435174613e-03,	||phi||=3.3190069462e-03,	||beta||=9.1760852043e-04
 83 MPGP ||gp||=3.0175695773e-03,	||phi||=2.8906078566e-03,	||beta||=8.6609028003e-04
 84 MPGP ||gp||=3.1787890989e-03,	||phi||=3.0611755826e-03,	||beta||=8.5668208093e-04
 85 MPGP ||gp||=3.3499077507e-03,	||phi||=3.2213974898e-03,	||beta||=9.1895601137e-04
 86 MPGP ||gp||=3.5741084383e-03,	||phi||=3.4384172703e-03,	||beta||=9.7546799259e-04
 87 MPGP ||gp||=3.6891696017e-03,	||phi||=3.5388233779e-03,	||beta||=1.0424497353e-03
 88 MPGP ||gp||=3.2916094107e-03,	||phi||=3.0836623038e-03,	||beta||=1.1513988485e-03
 89 MPGP ||gp||=3.0341697837e-03,	||phi||=2.7797907446e-03,	||beta||=1.2161207559e-03
 90 MPGP ||gp||=2.9059092193e-03,	||phi||=2.6279681663e-03,	||beta||=1.2401982532e-03
 91 MPGP ||gp||=2.5814510096e-03,	||phi||=2.2641251357e-03,	||beta||=1.2400107601e-03
 92 MPGP ||gp||=2.1086145382e-03,	||phi||=1.7188869542e-03,	||beta||=1.2213447136e-03
 93 MPGP ||gp||=1.6870935572e-03,	||phi||=1.2076300057e-03,	||beta||=1.1780978059e-03
 94 MPGP ||gp||=1.4813068944e-03,	||phi||=9.4529279894e-04,	||beta||=1.1404786888e-03
 95 MPGP ||gp||=1.0846775950e-03,	||phi||=1.0846775950e-03,	||beta||=0.0000000000e+00
 96 MPGP ||gp||=8.2437609787e-04,	||phi||=8.2437609787e-04,	||beta||=0.0000000000e+00
 97 MPGP ||gp||=7.7317607927e-04,	||phi||=7.7317607927e-04,	||beta||=0.0000000000e+00
 98 MPGP ||gp||=5.9622850106e-04,	||phi||=5.9622850106e-04,	||beta||=0.0000000000e+00
 99 MPGP ||gp||=5.5355048825e-04,	||phi||=5.5355048825e-04,	||beta||=0.0000000000e+00
100 MPGP ||gp||=4.7303193941e-04,	||phi||=4.7303193941e-04,	||beta||=0.0000000000e+00
101 MPGP ||gp||=4.3728140204e-04,	||phi||=4.3728140204e-04,	||beta||=0.0000000000e+00
102 MPGP ||gp||=3.7264154880e-04,	||phi||=3.7264154880e-04,	||beta||=0.0000000000e+00
103 MPGP ||gp||=2.9305684757e-04,	||phi||=2.9305684757e-04,	||beta||=0.0000000000e+00
104 MPGP ||gp||=2.4502666949e-04,	||phi||=2.4502666949e-04,	||beta||=0.0000000000e+00
105 MPGP ||gp||=2.0650171641e-04,	||phi||=2.0650171641e-04,	||beta||=0.0000000000e+00
106 MPGP ||gp||=1.8292942454e-04,	||phi||=1.8292942454e-04,	||beta||=0.0000000000e+00
107 MPGP ||gp||=1.9158694363e-04,	||phi||=1.9158694363e-04,	||beta||=0.0000000000e+00
108 MPGP ||gp||=1.9852713574e-04,	||phi||=1.9852713574e-04,	||beta||=0.0000000000e+00
109 MPGP ||gp||=1.8271259724e-04,	||phi||=1.8271259724e-04,	||beta||=0.0000000000e+00
110 MPGP ||gp||=1.8735411811e-04,	||phi||=1.8735411811e-04,	||beta||=0.0000000000e+00
111 MPGP ||gp||=1.5001927951e-04,	||phi||=1.5001927951e-04,	||beta||=0.0000000000e+00
112 MPGP ||gp||=1.2364695888e-04,	||phi||=1.2364695888e-04,	||beta||=0.0000000000e+00
113 MPGP ||gp||=1.1191940142e-04,	||phi||=1.1191940142e-04,	||beta||=0.0000000000e+00
114 MPGP ||gp||=9.2319899991e-05,	||phi||=9.2319899991e-05,	||beta||=0.0000000000e+00
115 MPGP ||gp||=8.5604443754e-05,	||phi||=8.5604443754e-05,	||beta||=0.0000000000e+00
116 MPGP ||gp||=8.6794074162e-05,	||phi||=8.6794074162e-05,	||beta||=0.0000000000e+00
117 MPGP ||gp||=8.5764869907e-05,	||phi||=8.5764869907e-05,	||beta||=0.0000000000e+00
118 MPGP ||gp||=9.1811795371e-05,	||phi||=9.1811795371e-05,	||beta||=0.0000000000e+00
119 MPGP ||gp||=9.2463841395e-05,	||phi||=9.2463841395e-05,	||beta||=0.0000000000e+00
120 MPGP ||gp||=8.8793169174e-05,	||phi||=8.8793169174e-05,	||beta||=0.0000000000e+00
121 MPGP ||gp||=8.5930585425e-05,	||phi||=8.5930585425e-05,	||beta||=0.0000000000e+00
122 MPGP ||gp||=7.1484127466e-05,	||phi||=7.1484127466e-05,	||beta||=0.0000000000e+00
123 MPGP ||gp||=6.6479787040e-05,	||phi||=6.6479787040e-05,	||beta||=0.0000000000e+00
124 MPGP ||gp||=5.5011303875e-05,	||phi||=5.5011303875e-05,	||beta||=0.0000000000e+00
125 MPGP ||gp||=5.1944120373e-05,	||phi||=5.1944120373e-05,	||beta||=0.0000000000e+00
126 MPGP ||gp||=4.2484825561e-05,	||phi||=4.2484825561e-05,	||beta||=0.0000000000e+00
127 MPGP ||gp||=3.8083421670e-05,	||phi||=3.8083421670e-05,	||beta||=0.0000000000e+00
128 MPGP ||gp||=4.0102285776e-05,	||phi||=4.0102285776e-05,	||beta||=0.0000000000e+00
129 MPGP ||gp||=3.7688762165e-05,	||phi||=3.7688762165e-05,	||beta||=0.0000000000e+00
130 MPGP ||gp||=3.8355283511e-05,	||phi||=3.8355283511e-05,	||beta||=0.0000000000e+00
131 MPGP ||gp||=3.9058364243e-05,	||phi||=3.9058364243e-05,	||beta||=0.0000000000e+00
132 MPGP ||gp||=3.3890549224e-05,	||phi||=3.3890549224e-05,	||beta||=0.0000000000e+00
133 MPGP ||gp||=3.3000585790e-05,	||phi||=3.3000585790e-05,	||beta||=0.0000000000e+00
134 MPGP ||gp||=3.2917832885e-05,	||phi||=3.2917832885e-05,	||beta||=0.0000000000e+00
135 MPGP ||gp||=2.6371395945e-05,	||phi||=2.6371395945e-05,	||beta||=0.0000000000e+00
136 MPGP ||gp||=2.5085787434e-05,	||phi||=2.5085787434e-05,	||beta||=0.0000000000e+00
137 MPGP ||gp||=1.8397145969e-05,	||phi||=1.8397145969e-05,	||beta||=0.0000000000e+00
138 MPGP ||gp||=1.8681565473e-05,	||phi||=1.8681565473e-05,	||beta||=0.0000000000e+00
139 MPGP ||gp||=1.9362438228e-05,	||phi||=1.9362438228e-05,	||beta||=0.0000000000e+00
140 MPGP ||gp||=1.6673080627e-05,	||phi||=1.6673080627e-05,	||beta||=0.0000000000e+00
141 MPGP ||gp||=1.5740908881e-05,	||phi||=1.5740908881e-05,	||beta||=0.0000000000e+00
142 MPGP ||gp||=1.4472913405e-05,	||phi||=1.4472913405e-05,	||beta||=0.0000000000e+00
143 MPGP ||gp||=1.4263776049e-05,	||phi||=1.4263776049e-05,	||beta||=0.0000000000e+00
144 MPGP ||gp||=1.3380095684e-05,	||phi||=1.3380095684e-05,	||beta||=0.0000000000e+00
145 MPGP ||gp||=1.2402869389e-05,	||phi||=1.2402869389e-05,	||beta||=0.0000000000e+00
146 MPGP ||gp||=1.1738175158e-05,	||phi||=1.1738175158e-05,	||beta||=0.0000000000e+00
147 MPGP ||gp||=1.0257492884e-05,	||phi||=1.0257492884e-05,	||beta||=0.0000000000e+00
148 MPGP ||gp||=1.0512931530e-05,	||phi||=1.0512931530e-05,	||beta||=0.0000000000e+00
149 MPGP ||gp||=9.5452416975e-06,	||phi||=9.5452416975e-06,	||beta||=0.0000000000e+00
150 MPGP ||gp||=8.6593345173e-06,	||phi||=8.6593345173e-06,	||beta||=0.0000000000e+00
151 MPGP ||gp||=8.3004898004e-06,	||phi||=8.3004898004e-06,	||beta||=0.0000000000e+00
152 MPGP ||gp||=7.6036173619e-06,	||phi||=7.6036173619e-06,	||beta||=0.0000000000e+00
153 MPGP ||gp||=7.6152080231e-06,	||phi||=7.6152080231e-06,	||beta||=0.0000000000e+00
154 MPGP ||gp||=6.9278918092e-06,	||phi||=6.9278918092e-06,	||beta||=0.0000000000e+00
155 MPGP ||gp||=7.4222008509e-06,	||phi||=7.4222008509e-06,	||beta||=0.0000000000e+00
156 MPGP ||gp||=5.8539382927e-06,	||phi||=5.8539382927e-06,	||beta||=0.0000000000e+00
157 MPGP ||gp||=5.2208748686e-06,	||phi||=5.2208748686e-06,	||beta||=0.0000000000e+00
158 MPGP ||gp||=4.8521289481e-06,	||phi||=4.8521289481e-06,	||beta||=0.0000000000e+00
159 MPGP ||gp||=4.4022714331e-06,	||phi||=4.4022714331e-06,	||beta||=0.0000000000e+00
160 MPGP ||gp||=4.1786530336e-06,	||phi||=4.1786530336e-06,	||beta||=0.0000000000e+00
161 MPGP ||gp||=3.6866710081e-06,	||phi||=3.6866710081e-06,	||beta||=0.0000000000e+00
162 MPGP ||gp||=3.2672693982e-06,	||phi||=3.2672693982e-06,	||beta||=0.0000000000e+00
163 MPGP ||gp||=2.8141268342e-06,	||phi||=2.8141268342e-06,	||beta||=0.0000000000e+00
164 MPGP ||gp||=2.6101401333e-06,	||phi||=2.6101401333e-06,	||beta||=0.0000000000e+00
165 MPGP ||gp||=2.4677555438e-06,	||phi||=2.4677555438e-06,	||beta||=0.0000000000e+00
166 MPGP ||gp||=2.1557816939e-06,	||phi||=2.1557816939e-06,	||beta||=0.0000000000e+00
167 MPGP ||gp||=1.9587151961e-06,	||phi||=1.9587151961e-06,	||beta||=0.0000000000e+00
168 MPGP ||gp||=1.6818135014e-06,	||phi||=1.6818135014e-06,	||beta||=0.0000000000e+00
169 MPGP ||gp||=1.5174079148e-06,	||phi||=1.5174079148e-06,	||beta||=0.0000000000e+00
170 MPGP ||gp||=1.3926332410e-06,	||phi||=1.3926332410e-06,	||beta||=0.0000000000e+00
171 MPGP ||gp||=1.2619178420e-06,	||phi||=1.2619178420e-06,	||beta||=0.0000000000e+00
172 MPGP ||gp||=1.2316402089e-06,	||phi||=1.2316402089e-06,	||beta||=0.0000000000e+00
173 MPGP ||gp||=1.1397905885e-06,	||phi||=1.1397905885e-06,	||beta||=0.0000000000e+00
174 MPGP ||gp||=1.1296419219e-06,	||phi||=1.1296419219e-06,	||beta||=0.0000000000e+00
175 MPGP ||gp||=1.1695978351e-06,	||phi||=1.1695978351e-06,	||beta||=0.0000000000e+00
176 MPGP ||gp||=1.1649331454e-06,	||phi||=1.1649331454e-06,	||beta||=0.0000000000e+00
177 MPGP ||gp||=1.1931007932e-06,	||phi||=1.1931007932e-06,	||beta||=0.0000000000e+00
178 MPGP ||gp||=1.1239906279e-06,	||phi||=1.1239906279e-06,	||beta||=0.0000000000e+00
179 MPGP ||gp||=9.9299885254e-07,	||phi||=9.9299885254e-07,	||beta||=0.0000000000e+00
180 MPGP ||gp||=9.0876854286e-07,	||phi||=9.0876854286e-07,	||beta||=0.0000000000e+00
181 MPGP ||gp||=7.9370986793e-07,	||phi||=7.9370986793e-07,	||beta||=0.0000000000e+00
182 MPGP ||gp||=7.4918632752e-07,	||phi||=7.4918632752e-07,	||beta||=0.0000000000e+00
183 MPGP ||gp||=7.3401678912e-07,	||phi||=7.3401678912e-07,	||beta||=0.0000000000e+00
184 MPGP ||gp||=5.9245840005e-07,	||phi||=5.9245840005e-07,	||beta||=0.0000000000e+00
185 MPGP ||gp||=5.3893230928e-07,	||phi||=5.3893230928e-07,	||beta||=0.0000000000e+00
186 MPGP ||gp||=5.1719313824e-07,	||phi||=5.1719313824e-07,	||beta||=0.0000000000e+00
187 MPGP ||gp||=4.6828653563e-07,	||phi||=4.6828653563e-07,	||beta||=0.0000000000e+00
188 MPGP ||gp||=4.0230011385e-07,	||phi||=4.0230011385e-07,	||beta||=0.0000000000e+00
189 MPGP ||gp||=3.7312818815e-07,	||phi||=3.7312818815e-07,	||beta||=0.0000000000e+00
190 MPGP ||gp||=3.2985713074e-07,	||phi||=3.2985713074e-07,	||beta||=0.0000000000e+00
191 MPGP ||gp||=2.9666743892e-07,	||phi||=2.9666743892e-07,	||beta||=0.0000000000e+00
192 MPGP ||gp||=2.8172685224e-07,	||phi||=2.8172685224e-07,	||beta||=0.0000000000e+00
193 MPGP ||gp||=2.5693399121e-07,	||phi||=2.5693399121e-07,	||beta||=0.0000000000e+00
194 MPGP ||gp||=2.3164272360e-07,	||phi||=2.3164272360e-07,	||beta||=0.0000000000e+00
195 MPGP ||gp||=2.1087938795e-07,	||phi||=2.1087938795e-07,	||beta||=0.0000000000e+00
196 MPGP ||gp||=1.9732160177e-07,	||phi||=1.9732160177e-07,	||beta||=0.0000000000e+00
197 MPGP ||gp||=1.9275770128e-07,	||phi||=1.9275770128e-07,	||beta||=0.0000000000e+00
198 MPGP ||gp||=1.8451735894e-07,	||phi||=1.8451735894e-07,	||beta||=0.0000000000e+00
199 MPGP ||gp||=1.7079880085e-07,	||phi||=1.7079880085e-07,	||beta||=0.0000000000e+00
200 MPGP ||gp||=1.5119262131e-07,	||phi||=1.5119262131e-07,	||beta||=0.0000000000e+00
201 MPGP ||gp||=1.3221511154e-07,	||phi||=1.3221511154e-07,	||beta||=0.0000000000e+00
202 MPGP ||gp||=1.2233333065e-07,	||phi||=1.2233333065e-07,	||beta||=0.0000000000e+00
203 MPGP ||gp||=1.0090265791e-07,	||phi||=1.0090265791e-07,	||beta||=0.0000000000e+00
204 MPGP ||gp||=8.3422298734e-08,	||phi||=8.3422298734e-08,	||beta||=0.0000000000e+00
205 MPGP ||gp||=7.0205435530e-08,	||phi||=7.0205435530e-08,	||beta||=0.0000000000e+00
206 MPGP ||gp||=5.9348621345e-08,	||phi||=5.9348621345e-08,	||beta||=0.0000000000e+00
207 MPGP ||gp||=5.2683349401e-08,	||phi||=5.2683349401e-08,	||beta||=0.0000000000e+00
208 MPGP ||gp||=4.3732389994e-08,	||phi||=4.3732389994e-08,	||beta||=0.0000000000e+00
209 MPGP ||gp||=3.7877410520e-08,	||phi||=3.7877410520e-08,	||beta||=0.0000000000e+00
210 MPGP ||gp||=3.4117590848e-08,	||phi||=3.4117590848e-08,	||beta||=0.0000000000e+00
211 MPGP ||gp||=2.7937544776e-08,	||phi||=2.7937544776e-08,	||beta||=0.0000000000e+00
212 MPGP ||gp||=2.5498205605e-08,	||phi||=2.5498205605e-08,	||beta||=0.0000000000e+00
213 MPGP ||gp||=2.2075194263e-08,	||phi||=2.2075194263e-08,	||beta||=0.0000000000e+00
214 MPGP ||gp||=1.9349350236e-08,	||phi||=1.9349350236e-08,	||beta||=0.0000000000e+00
215 MPGP ||gp||=1.6537676149e-08,	||phi||=1.6537676149e-08,	||beta||=0.0000000000e+00
216 MPGP ||gp||=1.4577036148e-08,	||phi||=1.4577036148e-08,	||beta||=0.0000000000e+00
217 MPGP ||gp||=1.2838402503e-08,	||phi||=1.2838402503e-08,	||beta||=0.0000000000e+00
218 MPGP ||gp||=1.1219414431e-08,	||phi||=1.1219414431e-08,	||beta||=0.0000000000e+00
219 MPGP ||gp||=9.8274015098e-09,	||phi||=9.8274015098e-09,	||beta||=0.0000000000e+00
QPS Object: 3 MPI processes
  type: mpgp
  last QPSSolve CONVERGED due to CONVERGED_ATOL, KSPReason=3, required 219 iterations
  all 1 QPSSolves from last QPSReset/QPSResetStatistics have required 219 iterations
  tolerances: rtol=1.0e-08, abstol=1.0e-08, dtol=1.0e+04, maxits=10000
  mpgp specific:
    from the last QPSReset:
    number of Hessian multiplications 222
    number of CG steps 206
    number of expansion steps 2
    number of proportioning steps 11
norm of difference of results from TAO and QP = 6.217887e-08  
